-1757 1697  339 -1025
946 176  -2480 1698
593 1225  2235 1058
1849 -1742  -582 -864
-2935 -2082  1943 -284
-248 679  -685 -199
-983 -3626  1882 1124
-3457 6525  5638 -1322
-3692 -743  -1844 4195
-1502 5843  3764 -1094
-152 1843  1373 3114
6415 -3387  4894 -5929
-3767 -108  989 -2156
4717 2952  -669 1522
2245 -848  3656 -1046
447 -739  -3200 1059
-870 -1939  75 304
-2560 5362  -1179 -5206
-206 -5121  -705 2735
1323 -2344  -347 -1467
6001 -1346  -8412 6186
-2631 -181  1234 1917
-4870 -89  -1544 -571
-3589 -4555  1220 1964
-488 -280  -820 121
3327 -6288  -680 -262
-4003 4472  -4156 2060
-419 2911  2399 1981
-3624 -2519  1915 -1547
-3157 -363  753 -619
-1798 -1339  1701 6728
-1883 2507  -6207 54
5864 3504  523 -7037
2201 189  -6197 -1029
5379 -4680  -294 -3322
-1037 1778  -1291 2733
3316 9051  4979 -5847
2910 599  -3486 -1806
2844 -526  -172 1313
-5319 3374  -3558 3734
-1612 -2498  -678 -4606
-916 -6257  -1768 5247
3132 1076  725 -1468
-440 -4892  -1055 -4216
-2236 2303  1761 -3430
2609 -2339  4043 -2504
3356 -1714  -1297 2188
-1975 1784  -3668 -6668
-4192 -2998  -28 1358
-2881 415  -3167 -2604
792 -5104  -2192 1665
6269 -4114  -1371 -226
-940 3109  -342 -740
3092 -578  1518 1565
2332 -3881  1482 -1244
-3394 -3421  7040 -4365
416 290  -59 272
-2182 1853  2654 -4435
-5153 -4082  1441 277
2771 -1139  3198 1946
-2895 -1167  5026 -1494
4198 -471  -2567 -1026
-1714 -4685  -738 -277
-2101 4280  1204 -3847
834 -2492  1468 -2633
-465 1254  -1547 245
2855 -2056  927 -5351
-1529 555  -2161 3265
-331 -2183  -195 -3967
1606 128  -420 -280
-1632 -1965  1079 4690
1707 1708  5563 1686
2945 3294  -1294 1387
5535 5736  -253 -4014
-593 1974  2513 904
2067 -2041  -6216 -3401
2110 1372  1256 -4320
-2944 -1803  1350 -253
2220 2705  -1375 -5227
-518 1582  -4911 1225
-2099 280  1424 153
2738 -1967  1414 -837
4913 6510  -37 -2787
-2860 -130  1167 -3667
432 4182  760 -432
-3749 2418  1814 -388
362 5134  -3152 5599
-249 3284  4427 48
2616 -2237  2057 2507
2939 3679  -1548 -5423
-359 1661  -1055 -1579
-3413 1154  6573 -2945
44 -4858  5535 87
-1198 1372  -2176 232
474 -1252  -1903 -4191
558 2692  -1505 -410
-5218 -3627  -3592 2727
-3241 -4061  1079 -2657
2339 -3487  2715 416
-1004 -2727  3061 -737
278 4762  -556 393
-4848 3533  3994 812
-473 -232  4816 4855
-4319 -1103  460 -357
-3624 -2171  3022 -2912
2283 -1335  -117 -1738
-3961 -1774  -1216 -1986
-1406 -8421  2123 -6792
-1804 -2669  1632 -4146
2558 2058  -6072 6151
-977 1228  -3563 -1370
-1490 258  2954 -1957
-824 -819  -3141 -179
-2296 256  4415 861
-4081 -3394  -664 -2560
2903 1458  790 495
-2568 -361  3602 -2711
4623 141  -2290 185
1794 797  893 -2946
-1870 -4748  -349 -52
-27 -2374  2569 -2228
729 -3255  1020 -164
-1042 3475  4527 1331
680 1385  835 -322
-260 -5741  2028 5506
181 2555  3029 347
786 -2403  -2053 1952
97 245  919 -8016
-2039 242  1752 1079
-341 -1616  1383 -1476
2338 -3033  -42 -1229
-2087 49  -645 -458
-5998 -1027  912 79
3202 -4872  680 -4636
4366 -2268  -702 -588
-356 -5448  -1703 4778
3038 177  4551 -5596
326 888  -2279 -3135
-34 -2106  4589 1595
2996 1566  5693 -723
4956 2956  -5336 -2641
-2513 336  847 1239
-1756 4310  678 -925
-1056 4031  -219 1119
4552 25  -3589 -1042
-166 -187  -12 253
-392 936  -945 -510
1464 -92  -3589 -2496
838 5906  2393 -1310
1864 -1365  1366 5565
-1711 -33  158 -2965
1116 -2856  -1962 -2415
4812 -877  -941 7047
446 -417  -2790 -3201
3162 -106  307 -312
-670 66  253 2853
-2869 6318  2183 -8007
1878 -2234  1357 -5295
-887 3569  2498 1024
2294 1813  2187 -1704
842 2445  -3859 2942
-2409 -323  1671 -1137
-1572 -2778  -763 1204
4736 1392  2077 -752
1759 3574  2571 -2268
-4175 1375  2990 -2741
1036 -4124  3576 662
-284 1577  -5669 -169
-1589 1918  38 6884
-1656 2441  1551 -1553
5804 -5000  1417 3746
-2860 -74  789 -2247
346 1689  5270 432
-4859 2233  1951 -1676
3574 -3014  979 644
82 2976  287 1583
1825 3802  -403 -2158
3616 6401  -1362 -4173
-4650 474  427 1572
714 -2063  1020 3898
-2426 2439  2160 3706
3440 2053  -1822 1586
-4104 -4204  -3065 7293
-2806 -6156  -562 1574
-2135 -111  5197 -6545
-3071 -2342  -4413 2458
-2954 602  -1332 1276
-1820 -3385  2444 -219
-1076 2488  -3431 -6926
-923 -2604  -4563 -4206
-3230 1382  360 947
5403 -5564  -2139 -1666
-865 -2397  -1821 5406
-585 1868  -2776 -6658
-8048 -1216  2348 2723
4091 1969  -903 1005
-924 1688  1065 1754
2039 3021  200 552
739 1326  -3293 1264
-2697 -1300  1091 -3014
1222 -1665  3028 2115
-3005 -2613  -2544 -846
3827 350  2917 1421
2064 9252  -7897 -7917
970 -3894  -1280 17
445 -1582  171 -5776
1577 3736  -160 29
670 -1128  4033 -2488
888 -3291  -5418 2334
1712 2831  1815 -1507
-5271 1204  -4112 -2585
-2612 -1591  -2921 -69
4096 -454  -1011 -3331
-2047 -1388  -1685 1394
460 -1745  3247 -78
828 4509  2030 -576
-826 -1919  4227 5355
1784 -890  3768 -995
6984 -5097  -279 3838
-1426 1550  2929 -1760
5557 -1722  1745 1227
2486 1205  1981 3346
-5432 7151  2811 -5163
-1299 -3713  -1597 226
46 -4951  3622 -1058
-1437 5771  -1955 -25
-4916 -3041  -4146 871
-2099 -1218  1292 -3392
-281 660  -2659 217
2884 -23  -4328 -897
-1367 -2214  7231 -3120
255 2217  -1097 2700
-763 -5408  269 -1002
-1763 -1005  828 -2234
-700 5179  -5457 -2046
2804 5438  3449 -5919
-429 -707  3062 -575
4703 2689  -2181 1251
5603 14  -1178 -336
4604 1424  -5025 641
2605 2290  880 257
4380 1162  2970 -3770
-1784 361  1511 -2670
1209 2493  3472 -2590
-357 -251  -871 -3004
3143 -5793  1896 -3391
-1005 -974  -1716 -2227
3390 -4042  1830 -2263
-762 1627  5537 3102
-2389 -425  3861 3152
1836 -2425  1414 -2177
-982 -1255  -1322 -7343
-2388 -3164  -1437 1377
1606 -79  1876 -61
-2361 5332  -474 3863
507 -1521  4557 2369
-470 -4371  4444 2364
1848 -160  3476 1353
-1402 -1765  -2297 -1883
-1639 2546  870 -1085
-4992 220  -4103 -1427
-1437 4215  -563 -3817
178 3740  -376 -6164
-234 -820  2922 4914
-271 -4408  1785 -2295
1277 2595  1447 -54
-40 274  -2337 296
-2616 4699  1216 -4494
-724 1280  -845 -3099
2511 5503  205 3988
2408 542  3303 -4308
1322 399  2382 2260
-1133 -312  -518 1399
-5062 -394  1784 -2960
1366 -280  4148 1329
-2492 -2294  -2339 464
4888 -2116  -2976 -94
-5394 903  -4057 -2542
1060 -4957  -3457 600
-3671 -1379  -4311 5628
1613 2586  4749 5540
1362 -1398  1065 -3015
740 789  -1847 -64
497 1172  221 -284
-543 -5725  -614 258
-191 -7651  -2852 131
1934 1477  -127 6109
2237 -1417  4251 6551
-949 4712  2885 1868
3608 1549  -1967 271
-894 -189  -4792 -669
1585 -1391  -70 7884
-2785 795  -8757 -3522
-2212 -3900  -3577 -2407
3342 6213  -183 1433
5017 -3306  3646 3386
3372 2702  -196 3381
1688 -1949  -705 -432
-1642 2455  -1257 3104
2601 2387  -577 2890
-3652 2240  -1974 3305
-2338 396  404 2199
-988 1123  -669 1760
-2565 -492  1352 -2931
3022 -2398  1004 1774
1391 -264  3036 -2739
6276 1681  4440 -1217
-641 892  2176 3449
2454 5120  -1933 1236
920 -5262  2844 -1127
1073 -5643  -2064 105
-1403 -66  -2751 3444
-4765 -3436  820 1027
1090 3157  3807 1156
4676 4166  -2212 139
-2504 -4415  -3490 2326
7660 -581  -2235 -3492
-3080 -526  846 -1024
2041 -4217  -2740 1045
2137 2908  1067 4560
-2613 -216  136 -1534
4275 -859  -2846 1357
1990 2302  891 3475
-1158 4977  1154 -4548
-1038 -327  4731 227
-1869 -4920  4101 -1302
-1091 2811  -3085 -4045
1743 -6321  2426 -477
-2982 -3678  261 1161
-834 -5452  117 3087
-1389 509  4208 -375
2234 -1161  935 -528
1261 -1263  676 1689
-4037 2283  367 2673
3479 1989  2640 2059
734 3848  5166 4681
2298 1558  2687 -287
-954 2168  -2643 -735
1173 3327  2647 -710
-866 1686  4159 -224
-549 -109  -258 -1924
-314 -1443  1778 146
1061 -1035  -350 855
620 -289  -697 -552
-2952 1110  -3294 -5220
2462 -4421  -5054 3020
718 -5138  2496 -4506
3053 6310  1621 520
624 -2025  968 3668
-5738 710  1660 -1150
-3295 1195  97 -2106
656 4879  177 3413
-1104 164  -582 1030
-1243 -3823  -2275 -3156
-556 5634  -5201 5247
-2573 -4856  -1413 2881
-2912 7  -2863 -4440
2570 139  -556 3537
-2351 4554  -1522 3545
-6520 -502  -1910 -1737
786 -1441  2096 3635
660 -3581  1981 -3936
-2277 2914  3643 289
-579 3261  456 2920
-2264 5601  -6927 -3506
796 -561  2440 271
-2237 -3472  6187 -4192
-2222 -1663  2460 -3168
-2778 7267  -3601 3222
-49 2522  -5381 -1832
-1691 1052  -1073 -4528
3213 2256  1036 -4585
-3540 -339  7420 -328
2780 -3389  2390 -1412
-1020 -4377  1830 2082
-1618 -5329  1075 -3017
-4542 -4826  -1301 -1148
-7524 -1469  -4465 1342
-3599 492  -1765 2572
-1861 54  -590 76
4275 2465  3309 865
-3179 2619  3527 -3407
-1436 -7099  -2010 -1046
-1481 1479  -5584 2128
1362 -2510  -2108 -2582
-5161 -1732  -1937 -2952
2147 540  4031 5430
7841 1899  -583 -1986
-5371 3075  902 243
-1055 2558  -1195 1816
3552 -1477  7543 5117
563 1126  -740 1087
-2671 -53  4416 33
-4456 -2334  -4568 -3674
-3109 4198  2154 1785
1269 1411  -279 92
1301 -4923  2018 -5600
-622 -532  -898 7746
-1514 -2545  2838 3668
143 -443  1599 2361
8675 3373  1958 1559
-40 -315  1724 5132
1955 -2112  -7206 -2099
-2059 -3622  -5799 -3183
3299 -693  -5768 -3959
2097 2270  -2767 -2082
-1615 2302  -3033 -646
1753 984  165 -174
2988 -2937  -323 4723
218 4972  -922 -1829
3267 44  -4687 1461
-2263 4510  71 2096
-561 -4692  2719 4320
-639 -413  1116 -1868
-677 1896  3696 5712
1525 -1207  -436 -87
-3948 423  1461 3668
767 1132  -2823 1962
1505 586  215 -1290
3233 125  1068 -534
-2007 -1510  -1896 2245
-2042 -2551  -3143 -1149
-750 1669  -1227 679
3067 2939  739 3641
-1124 235  1305 -2732
2951 436  -271 5303
3549 2134  2409 -2958
28 277  3312 -3182
4636 -1823  2035 -4429
715 286  -4592 4673
-1148 1693  -4331 -3514
1299 -1367  -6046 1599
908 1161  271 -820
-1083 569  3186 1562
-1851 -4324  -1066 -459
-5582 -5185  -2554 3657
2484 5127  -3396 -279
-3092 3324  2689 -1574
-2293 199  757 -820
-3302 -28  -2684 1607
6015 2124  1153 -2333
-3354 -4297  -1876 -1245
3616 76  -641 -2438
-3697 -2982  -1060 1143
-3873 4456  -1187 372
165 973  1130 -1222
-1715 103  -1494 1140
-2063 -189  -1871 -1643
-143 2846  3327 5215
-2449 3742  -2149 -1077
3764 -698  -2193 1398
957 -2677  3988 3291
-1227 2622  -5115 -5382
5679 5617  1352 -6
727 1489  -3982 4455
2666 4087  -3436 -1130
2484 -2618  -1914 503
-1838 4027  -957 -2459
6562 -6068  -4031 5818
-647 2677  1902 2049
609 -109  5766 -1135
-716 2853  -482 1868
-1441 5107  2593 -992
636 3325  -1863 -2383
2844 -5120  -102 -365
2166 2012  2523 84
-2792 920  1752 -2059
-1303 823  -2574 1148
9375 -4129  1734 3671
-3604 4739  -4305 463
5722 -3389  1491 4685
-2926 -2192  114 -730
980 2058  1821 -509
802 -5856  989 -1756
5745 8100  -31 829
-1006 3294  2376 828
-3017 82  5900 -5142
265 5149  -1165 -1490
3432 -2105  -2560 -1681
5505 -1599  -5847 -1007
5386 1208  1492 -3708
2566 1638  -2028 -6866
1993 -3034  6268 -330
706 2345  1534 -1915
-1041 -2256  4003 1768
-794 -2788  -3348 -433
2072 -1851  -203 -1555
-1971 -2054  4705 1734
-1745 -3438  1429 -4158
168 -26  -2175 3352
-201 -2484  -6376 -1186
12 1439  2496 833
-403 -2963  4233 1047
4146 3869  -8202 1967
-1326 -2135  2223 -2971
-449 -180  -3107 357
-1639 -718  -3165 1301
493 1982  -1069 4963
-2145 -846  1056 3118
-1248 -3104  -1208 -2636
1403 1211  1219 -3908
-6639 7028  7025 -3681
7000 -1733  -3412 -6691
-3991 858  5212 341
3195 -2114  2722 -1123
934 -1844  -604 644
1035 -2626  -2108 -2176
577 1657  2462 -2731
-2765 -4699  -3173 -1128
-1157 1049  2276 -2846
2182 -5325  -1591 2965
-1022 -7345  -5527 -2656
-2649 1248  -2769 -233
-1662 -3297  -596 2522
-6973 -648  -5362 -4929
-2128 177  -245 -2409
183 3969  -1650 1011
-4391 -8096  -1843 1807
-590 2399  1891 1069
1148 -4152  -1647 -2350
-5119 -3862  -2124 -538
1148 -3031  4590 1727
2936 -3827  312 528
2620 -4113  -927 1273
1392 1704  -1157 -2032
-1896 -2490  2458 -5150
3284 -5067  0 4292
-9163 6021  -1254 348
527 6176  201 -13
-2764 1579  -1587 -1428
5442 -2121  919 3865
-4608 -113  -1087 -5147
6808 86  2270 -962
-940 -2455  4822 -2920
2237 -1006  1905 172
-3353 2359  -1289 -900
1881 640  -5256 4201
-2162 820  3925 4772
-3382 2023  -6714 -2504
2517 -999  -731 2638
-1140 -2297  1988 4212
812 1020  855 4114
17 -5164  45 -711
6223 431  4605 -5766
-1639 3758  2943 1869
4905 -482  2897 1593
-7624 -1541  -680 2932
438 -2727  1901 -292
1218 1843  -310 -5946
-3602 3113  1277 -2320
1653 -785  -8196 7710
-2018 -1195  -1841 -728
4441 2961  -1490 -6622
-1581 -2991  -2314 4910
623 4681  -605 660
-1962 1567  789 -688
-1785 -763  8299 1492
2526 -784  1178 1375
2447 -5687  1873 2823
2614 380  180 327
-139 557  4466 3168
1028 -1843  581 -604
281 2487  -1997 1898
-726 -3720  544 3319
2351 -1331  -197 6
-2985 -206  -2341 -2263
303 1389  2501 1758
-780 -3091  1595 -1486
-5637 -1673  601 -1202
-1734 -3753  -7685 -2871
374 2260  -5782 -2185
-4210 -2964  540 2528
1309 2720  -5902 -563
-395 1358  202 -4221
2537 4061  2281 37
-1178 2086  -5702 -3247
-2547 -973  2295 741
-1695 2801  2683 -1674
942 -1526  1241 2251
-837 -711  -431 1372
1263 -618  1165 -589
524 3466  495 -665
1738 2807  -3928 1193
3119 -1784  -758 6965
339 631  -2016 5804
-2758 -903  3995 4466
1793 -1014  2875 -454
911 -760  -1034 -4375
-2952 663  -1357 -1238
4637 -45  -3580 -981
-5128 -3249  4406 -1502
-3034 2257  -2880 -4082
-4941 5271  255 -3358
634 2589  3117 4757
-2379 -4448  -3720 -1532
2184 -1109  -1635 3109
754 -3029  -627 1911
3132 3659  -217 2182
4417 5179  966 3916
-2800 3518  1940 -1244
2926 -4778  -1618 -2867
-240 -143  -3157 -1602
-281 2789  -379 2953
2681 1296  2353 -3994
-3723 -5016  -3115 918
2789 1168  1208 3542
-4353 1969  -155 -1976
-4538 4661  -719 1680
236 -1412  1494 -1394
1691 1520  290 6556
-5551 7475  3513 -2422
-1639 -191  104 -1403
3681 1458  2150 3064
865 -5365  3413 3378
1953 -1741  124 -3746
-2531 2972  194 -2079
-930 850  -6057 6642
435 -1488  322 -972
2142 -6940  -946 3089
1883 -98  1562 2408
-2685 666  -2707 1637
-1161 3952  638 -7001
-3491 3765  -39 -376
-1406 3802  -4339 -891
1040 -2410  4725 2856
-2723 -1633  1463 1516
-176 -7604  -3283 1941
1426 -5579  -1486 4401
-3141 -4074  336 -11
-748 -3719  1462 4266
1074 -610  1289 -1275
-2851 -1841  -3576 820
-1159 -769  851 -1227
-3617 3533  -2324 -1773
-4973 -427  364 -4731
375 -316  6203 127
-1307 -820  3096 -2731
3680 -582  -6074 1809
236 1390  -2925 1009
-1665 871  1924 -5267
-1167 21  -1242 -1726
202 847  3389 2403
3203 1567  -2403 6908
1189 -5366  -1368 1924
1109 2120  -3918 4004
-3129 1438  -3943 1132
-2060 -6391  3238 2513
-3069 632  207 1263
3182 -8017  -1472 -3555
-949 -202  12 53
-2003 5780  867 2142
-2515 -686  8514 -6306
778 1729  -2057 4454
5455 -3011  275 2000
-3340 -2461  -1567 1202
3116 1227  -189 1719
4246 -215  5418 4438
8347 1167  1453 7150
3007 -2036  -1102 1671
-1884 -1149  -600 419
-1082 235  3004 -2465
-925 -3546  32 -2475
-934 148  602 1401
4636 -4520  600 -6653
639 1895  1354 -1101
-3380 1134  194 3612
-1607 -919  473 -4098
-5437 -1166  2828 -1528
-1160 -18  5723 1426
-252 -1641  1387 -1169
-3912 -220  4512 -1712
5100 -3549  -917 1254
55 -811  -520 2818
-3422 -137  2944 -2923
-1311 -2337  -242 -4509
329 802  1072 -3035
2734 -1994  -862 1368
1426 -2476  -2378 -2909
947 -1336  -960 -3119
10494 -1639  1184 5257
2448 -1308  3937 2849
-635 182  3217 -4980
5210 -721  5081 896
-1058 -1259  3549 -1786
2794 3862  388 2608
-2219 2027  -3279 -1915
363 -1386  -3132 -103
-935 -609  -332 2222
472 -2276  -3186 1138
-3232 2872  3122 -1597
-4900 419  -5377 224
-965 2408  2779 2358
258 2930  -872 2746
3582 2699  201 7362
4188 -9109  861 -429
-4497 -7756  837 -1909
563 -237  -1602 -5065
-675 -18  -1554 -2598
2086 -5249  -922 989
1618 2335  2707 4625
2225 911  -450 5593
172 829  -261 -4174
2874 2953  -4958 -1649
-1432 -1143  2254 -2031
-2289 -6807  3986 -3867
5480 -2413  2614 -577
5796 2913  1063 -757
-673 2592  -409 3214
741 305  -1411 385
2111 -267  -1939 -1253
225 1590  -1264 2017
-633 -4408  739 52
-6327 -7232  -4667 -3628
5 -1137  5080 -654
-616 -1513  342 1610
-1940 4305  -4720 2892
-1031 1335  -1884 -1079
-245 274  -373 2175
-4031 -552  194 4109
3815 1604  -4230 -10
-281 -3480  759 -5124
2060 -3194  -314 -2317
-1710 171  2798 -4273
-50 791  2926 -2286
-981 -623  -222 -4984
-691 -7674  -1164 1291
-1133 739  -279 -838
-2981 -817  1934 1856
1419 -1756  337 5696
4077 4825  1416 737
-3505 4189  -5616 3056
-5433 3869  -2982 -2975
-4527 -264  -1701 2467
-882 -1279  3242 -4465
-2849 331  766 3454
874 -1569  5065 3196
-2023 4180  4057 4671
-7774 6648  -888 4925
-449 1713  -3023 1658
-2639 756  2365 -68
-373 -4012  -2997 3507
-3128 5598  -1375 -3629
-4518 1547  548 1811
723 -2200  -139 944
2383 1299  3506 -2629
1108 -4276  730 -2960
2375 1636  869 2705
4727 -4374  -2918 1253
-454 -287  1542 -2322
566 -6017  -3464 -780
692 7491  2149 1738
-2781 -953  245 248
1737 -3675  -3078 -15
2848 -525  3577 1983
1175 -754  1117 -2776
470 -5457  76 -2122
1442 2303  7228 -607
-3870 -2990  765 -3272
4210 -898  -2035 4722
4400 1508  -1473 -1230
-94 1504  -141 -3485
-2507 1258  3351 -3346
-581 2231  -403 546
3162 1134  1439 -934
2913 535  4978 -1754
-1369 1875  -4079 340
778 -3772  2403 5339
1009 3060  -7840 -4053
4582 -1962  -3588 -1945
794 -3313  -7944 1025
2681 -4197  2376 -2354
-1514 1573  724 1118
15 1151  -3254 -357
3441 -4536  -866 -2721
-2174 -5179  2923 -4053
1680 -4085  4327 3436
-2596 1963  -1798 3081
4028 -686  2804 1804
-196 -393  -2052 1503
-1654 2131  -1046 956
-797 2095  -7045 1813
1065 209  6847 1013
-3886 -4859  -2749 696
1218 -2441  -3652 969
1630 557  -1316 -776
-1811 87  469 6786
2156 -4797  -1003 -4237
-208 -1793  -1217 3092
-4209 -2547  840 -2051
3162 2074  499 -3312
-2506 3001  -1121 2064
-3518 -768  1317 -6479
49 -4488  5198 -3463
-3658 -3653  233 -5522
-5344 -5879  465 -4637
2109 3314  -1978 -270
-592 43  -4289 -1082
921 2804  -3709 -1604
-4210 4805  -713 -5494
-1610 181  2366 2907
-1213 -4090  -2117 2358
-1350 3431  3440 3496
-3368 -583  -4793 3178
3371 1518  -2607 -3038
160 2167  -741 -2684
-2184 1110  -3429 -4115
5367 706  1907 2489
-935 1680  1894 -3833
5008 -1048  -1575 -1662
-1999 -2259  5846 2325
-1366 311  -895 -4934
-2165 -2279  -3135 1771
240 197  3470 -489
-780 81  -456 -107
839 4148  2415 2777
3072 -153  -2956 3216
7046 1878  2110 3306
-2153 626  5626 -1095
4476 4623  -621 3475
-1688 1788  -6616 5194
638 -3815  -1923 -3243
-3424 1980  2540 -2073
2180 437  298 -1595
-1341 871  3130 -3529
785 1753  1113 3073
-1977 -6815  -2535 4412
-3151 -6074  -2291 678
3271 -3735  1938 -464
118 3194  -3668 -818
-4199 448  1469 -4055
-2518 4001  1225 -2709
-463 3423  -4299 3418
3035 -833  -5161 -4882
-2750 4  2798 -181
1893 444  -560 2353
-4654 -735  3004 1808
-2070 -530  -4700 789
-446 -6493  -3312 -1736
614 -3498  -2047 1496
1149 778  2996 -998
-1351 -662  -253 -5563
-1273 307  -7930 -442
3853 -4935  -2462 -1761
-277 -2451  -1729 1456
2270 -1866  -452 -4421
6202 -1366  -611 -746
-1200 1730  -4749 3021
5165 -2166  -861 1068
655 1340  -3497 1518
284 2078  358 693
137 1755  -4472 3632
-10309 -3601  4892 3402
558 -2512  4315 1464
3571 -7027  2965 1062
-1096 -911  803 2399
4125 4513  4209 758
-3173 3456  340 -670
-3985 2048  1418 -918
569 -5136  1636 3039
-581 2599  3812 -517
-706 5646  -1930 -1023
233 2364  -462 112
1678 1517  2904 -1995
889 2681  3643 -1399
257 -8656  -3250 -342
-5460 4427  -2028 2022
1585 334  -1239 -1358
-3052 -1682  1962 647
-1770 5894  8305 -2323
4761 425  -1464 -3745
115 1273  -1083 -3184
-2543 3310  2328 -5898
-113 -2523  -1853 1666
5223 300  -4177 4522
7128 -250  917 -4985
4100 -1800  675 -4660
-2352 -2610  956 -3104
3550 -2240  4237 -2262
1731 1587  -2117 1651
-5732 -516  -2837 -3852
-2139 1685  1836 -6445
2615 332  5764 -3001
1822 1842  1719 2439
271 1910  1679 -3861
-1448 -668  -1191 4931
236 3984  428 -531
-2598 -1532  2857 -4260
42 -1554  5494 -1552
-2589 -180  841 -498
-622 -530  1544 -4088
558 310  1762 -909
-289 -6028  -1467 5146
-4886 -1079  -295 -2871
-3373 -2911  -5176 -2119
3160 2378  -2841 -6761
-2658 -3260  3505 -371
-3367 864  -3121 842
2342 462  -86 1329
2432 -2872  -918 615
1189 -1295  6068 1071
538 -1905  -2997 2634
1544 4362  -1491 1281
4584 -846  -5356 2750
-2394 3106  444 -2538
-2275 3833  837 -44
478 2377  -2553 2833
2865 3049  2943 3666
1075 7269  1220 -4230
257 -2154  2241 1835
-2168 3201  1213 125
-76 1336  -557 2698
-2598 4165  2053 -435
-169 1385  -975 2151
-579 -4608  1395 6896
6247 -3179  -2343 2191
1858 2180  -5029 -4514
3031 1992  -5198 -3024
-887 -578  1858 -2009
362 -4495  3089 2721
2440 2004  -835 1428
-5309 -4754  2559 427
1583 1677  4326 1258
-2611 -4848  1208 -3790
2950 54  2470 -2526
570 -519  -3242 805
-3267 897  -6414 3617
5346 427  -2217 -4012
1878 145  -3867 -1369
-907 250  1892 1553
-2625 3024  3661 3681
1223 -812  -1382 2792
16 -111  -2783 727
-2274 -873  3997 -2488
-7183 2254  4642 -3015
-859 708  -2592 -2292
-2851 994  2907 1826
-3485 2209  2038 -2070
2883 5314  -226 -1874
3848 73  425 -5501
1831 680  3637 -4234
-2919 3127  616 3141
-365 2399  1125 3593
-2515 3670  -2146 -936
1967 3383  2393 3433
4445 -1161  315 7854
297 1647  -953 187
-1754 -2327  -1646 -3301
-4527 4791  2676 -1582
1503 -4115  -1793 -1456
4837 4480  -2231 156
4143 -1998  4680 5784
-752 1608  3712 734
-2164 -241  -1316 5032
5766 598  1241 -3679
295 -1236  -5160 -1728
-579 -42  928 -3798
4255 -2579  382 1682
1261 2875  -2962 -373
-213 -1002  -2334 -2458
-4810 2928  -3600 -123
936 3131  3593 1097
3709 5218  1780 -3
-5569 -3500  -2727 474
1265 -1314  1320 6570
-3483 3073  -2470 5253
1299 738  -1755 -895
1516 -2277  -3162 901
-194 3297  2305 -1403
-1860 4922  -1291 -786
-4765 4470  2597 307
-1437 -548  993 2256
-154 -3767  1557 2702
-2214 873  6494 -1253
2133 1590  -1815 -1016
-4014 643  1735 3229
411 -227  841 -3112
-1870 1224  -1028 -746
-298 -2910  2699 -1539
-1661 -1350  -6053 1866
909 -6875  858 -1616
-1700 -1303  447 2620
5390 717  -3259 -411
-2747 1555  -975 1955
-310 4515  -1493 1235
-1481 -6006  3688 -1609
2048 -2933  -5776 3994
1868 -2128  -3025 -1350
2554 -2352  2012 -612
-542 -793  965 -2026
-1677 -224  -421 3131
-2727 1717  -131 -1505
-1340 1419  5810 921
2901 -4472  -1486 757
3034 -2503  513 1238
2050 1012  1107 4674
-1955 3950  -3773 -2790
-1346 1763  4241 -3553
2695 4136  -2712 2067
-4672 -1052  2046 -220
-1088 -7291  -3273 -1876
1368 693  -8245 5659
4804 -939  393 6733
-3686 2498  2339 2112
-5757 1387  1927 -2058
6486 -670  -1337 1194
-2607 3691  2781 -3676
-1256 316  1123 -1823
-6305 2637  -1440 -916
1840 3015  -2277 5753
-1786 -2949  -905 3627
-2578 -226  -1844 1008
-2162 2579  1068 -2865
-990 -334  -2228 -827
1365 -779  -4270 4766
2668 838  329 -2064
-3819 -1936  1587 -2200
1762 -6213  208 529
-267 -919  -1234 -3647
262 -2134  -4373 1252
-2304 4002  -2795 -2331
-1795 -1043  4870 -2363
-994 -930  -1796 2127
1620 1662  1489 -4383
-1262 1813  -5030 -891
-3850 4465  -2597 -312
808 -1852  901 1808
966 1822  -1804 -3531
1 5017  393 1487
-2841 2139  101 2703
-1644 -5931  1846 614
2081 2316  901 1199
1163 -1990  -139 -5588
-3491 -2331  -6201 -2849
-1857 5567  -8517 -820
-4471 3918  882 -3528
-2340 -5045  -982 -2496
-3575 -2320  -6674 1236
-1337 -3593  -1227 -198
785 3772  1017 2442
1013 2398  -3265 -2747
-3021 -1131  3174 -1398
-2277 1329  -3550 -1685
2709 -3454  4798 1762
-2060 1037  -5460 3783
639 1894  102 -2784
4198 -1519  -2764 -1641
2221 3318  -3813 -433
-846 1710  -125 6250
-326 3300  -1959 291
-2462 -2502  2691 -744
-2785 -102  -1112 2535
-1517 -2531  -1067 -389
18 -2067  -471 -1788
-501 1092  -636 -2060
2767 -2752  4979 -1404
-473 1292  520 -1527
-3746 -5242  -1318 -7077
4528 484  -3154 -2723
-1155 1884  638 3344
-2624 577  396 516
566 -5243  -1257 -3332
-2304 3134  -2281 2781
1822 -440  -2315 -1104
-2649 -3366  -3843 2434
-2917 -4416  1994 274
-955 -2388  -4988 -2377
3065 -1479  3563 -3619
2363 1674  -3291 -418
-499 3400  -4372 4279
-98 525  -1332 1899
2540 -200  -847 913
641 1994  4480 4686
-613 1480  181 214
-78 2940  -6787 -5887
-1363 -901  1625 510
2044 -1410  -1648 -266
8493 -1180  1067 -2275
-533 -312  -1569 2481
