546 -11  884 -544
-268 492  -476 405
-110 894  -375 -844
-58 464  -392 -127
-85 -83  183 -549
800 155  549 170
-546 -63  432 40
605 -8  -1030 -276
657 -143  -610 227
344 160  -16 -171
65 467  -77 598
-283 450  254 1039
-781 -139  264 -124
899 -435  -381 257
-280 70  790 -353
-262 -231  209 -464
-618 779  183 47
-94 -431  -446 355
336 891  386 -863
161 -354  984 -896
375 -79  630 1447
-304 -309  295 1021
299 -365  358 58
-963 -161  -140 1002
-360 -234  -500 -259
-148 -5  83 243
328 332  464 518
139 726  1181 -124
51 -61  340 280
-276 1079  -765 12
68 -1109  -380 1037
102 -43  1007 -52
548 291  105 -237
343 926  124 -45
197 -325  137 -655
-379 157  262 290
-350 -335  -55 -602
-1036 -94  53 745
-150 180  688 -76
-193 118  994 804
817 116  98 -390
-142 1484  508 490
293 464  88 128
-567 -175  -272 -285
-324 270  509 -216
326 -669  402 241
253 329  101 310
-339 -730  951 -502
125 315  1130 -125
243 -174  154 -46
52 1376  680 -1028
-65 -1030  -355 -493
-716 1498  -807 -345
-191 420  270 -588
-455 -700  15 -7
310 -251  -648 617
246 730  -561 -295
390 -521  693 259
-57 324  460 -250
-608 77  53 89
-93 -342  414 233
166 465  711 -675
-22 275  367 76
118 149  243 411
326 458  -187 -233
68 48  -1197 103
925 297  652 184
58 -11  -471 -966
-44 -205  12 507
706 -385  -330 366
-184 -661  -297 475
59 94  1073 -829
452 -222  -268 -138
-682 43  626 -1043
-590 310  -982 440
823 -85  -148 -1139
-518 -285  833 498
-638 -97  -1188 4
-604 -623  401 200
-357 -287  894 -125
-118 299  146 170
138 289  -1186 -365
-442 -881  42 421
-179 -974  -990 -473
329 135  325 343
-433 -848  412 -17
-999 -155  746 -1038
54 -76  -274 -132
781 -757  649 16
-507 801  846 12
-30 -882  -868 -340
321 -1049  -259 -309
323 -85  17 288
255 118  -138 474
-796 956  139 -389
-420 394  -501 192
-1133 527  -113 -455
2 -220  368 114
363 -543  765 681
-727 61  600 -209
486 -34  -462 -642
-550 373  542 -112
-25 168  375 254
139 62  337 107
-304 -120  298 535
-961 -571  -559 -239
604 -73  80 -106
592 657  1131 1479
413 288  254 -245
2 -353  87 248
22 173  677 -55
70 -658  -769 -22
375 178  266 -333
-174 -69  202 -146
464 -626  282 -334
197 -228  335 -361
1265 -243  -145 14
281 591  -181 516
-1127 41  -1304 -495
90 252  -699 576
-631 -542  -563 -298
-653 -948  325 250
-531 126  394 -769
597 -927  -140 -916
910 -562  297 -19
-50 -667  437 -375
-12 -63  205 192
443 -505  575 172
-259 126  -830 17
305 591  -99 -814
166 112  -143 -386
546 -333  217 -339
-117 -641  -272 -1109
1038 -254  321 -925
603 404  20 -603
437 -25  19 22
396 13  -806 -77
420 -3  1039 -768
-1892 -344  -183 -103
-576 -936  -511 -1219
229 258  -39 -103
-401 696  399 807
-580 864  -374 31
-143 -86  802 -11
178 -26  401 738
-258 -109  572 107
-94 -746  -707 -133
-201 -298  42 -265
702 -520  458 -235
-320 -86  287 30
-109 418  109 569
-924 32  38 856
134 11  190 -303
1290 711  -144 504
-830 336  605 -302
-969 1450  204 -243
-304 -29  -446 232
187 -184  761 -59
61 -105  333 250
-614 -942  334 -972
-687 479  279 754
-137 565  -572 605
-448 252  651 -346
-989 -3  251 425
127 -353  -138 539
508 581  135 -424
100 438  242 -268
892 135  -19 -460
23 -164  351 -299
-862 141  -1284 466
1121 -1726  -224 4
668 -751  130 -169
-849 381  -160 44
-516 285  -484 -1025
-854 345  385 313
-49 1605  -631 -217
704 630  -371 -707
-457 -34  38 -798
-549 111  -609 -166
-129 -326  -539 474
-460 434  273 -160
128 513  -139 526
279 -140  110 -22
114 667  104 -123
232 -34  -530 -849
172 521  -379 146
-347 312  197 -239
174 -373  -214 429
252 -197  199 -127
-682 470  -21 -349
-497 208  -435 61
-107 283  63 -548
-555 -100  -400 649
-19 -664  802 -116
484 -924  574 743
1196 195  -506 -646
287 180  1101 -343
-88 -543  -544 588
101 -531  205 967
550 -781  -639 920
645 -26  750 70
748 -246  310 -375
5 714  471 -486
-180 -217  -49 -285
24 -247  -145 107
849 -1065  135 -244
-262 -300  -302 973
38 -934  54 -331
-1062 -20  693 780
-467 -271  -125 645
-639 96  -210 235
18 -887  -500 54
19 142  516 204
-240 -354  939 -220
78 42  194 -639
-1135 393  -1051 -130
-355 24  -159 -623
92 -472  -76 -157
192 -949  942 -529
-1107 -671  1100 -442
131 511  -647 605
-618 392  -210 -228
-37 385  6 385
-499 -522  -617 391
423 940  256 -918
-284 17  -105 -660
-489 1588  119 411
-327 853  -489 -238
787 -356  216 -44
-281 504  337 -402
213 -25  349 -133
-195 -288  1282 14
257 597  -229 271
-546 51  452 620
-786 -73  -968 -534
619 487  609 -530
82 951  143 246
131 47  194 407
-500 417  156 -795
1125 240  328 -724
-207 21  -19 -383
-940 -306  65 373
259 104  103 551
142 42  -143 -272
170 262  -463 53
-395 1154  512 -665
783 -1106  605 451
895 106  70 -463
-214 153  415 782
752 677  575 -447
401 -822  -886 -305
-745 -440  357 -148
-99 223  -127 70
-452 358  -34 -159
17 -96  107 757
488 -16  -537 -327
-177 721  456 -268
87 70  1747 834
264 879  -427 -586
-23 -225  326 -691
-103 1166  -76 -412
-557 -270  240 -795
-407 -79  329 319
314 980  306 -16
712 -130  -646 890
489 -755  399 -850
23 -167  -71 -400
-109 -538  916 -254
477 -398  133 -150
-846 -321  -584 -242
-1152 385  454 -342
223 -278  181 78
-646 -385  295 -139
141 96  1029 243
737 -517  -442 -1019
737 -843  -1320 259
-539 267  -215 -484
1015 -573  198 -109
-723 465  -492 362
-159 578  1077 -532
-496 252  -374 -137
-151 642  629 179
1198 284  -578 -327
404 444  -62 298
871 -279  -797 -599
-240 322  -428 -951
-1688 235  -714 971
-11 -586  -339 136
407 428  -403 -418
374 -238  661 -610
-122 426  -118 252
-762 776  -268 -40
657 448  27 73
820 -616  904 -257
-917 -240  -100 -46
37 -366  -440 59
-39 24  -509 -534
62 -785  646 504
438 310  553 -52
617 -655  247 740
-656 -232  545 -67
1001 29  -135 611
-3 -703  -78 -728
-484 -433  -231 -175
-198 163  746 -303
853 298  54 1293
-201 113  -211 -781
162 1006  421 717
-748 196  -518 115
19 -464  -255 -55
380 138  14 86
298 124  425 -759
409 225  -952 -148
233 1208  -407 -1124
-759 417  -473 421
-153 -790  1022 133
-217 31  -49 269
660 99  33 54
243 361  246 -670
218 -199  -1208 -562
467 -34  -398 316
362 1053  -270 -342
492 847  -177 414
-383 -133  -429 -484
-520 261  76 -542
1051 -163  -959 -148
103 -224  -83 -252
-526 620  65 -386
-492 -33  -480 -543
-341 -916  -489 289
-683 -357  221 499
45 965  -741 -261
-817 -393  459 -104
114 429  -149 -445
77 -605  193 430
112 -647  42 -414
-314 -313  307 -417
1090 -963  -624 -352
-743 820  1327 819
533 443  115 -255
23 -28  328 -622
-336 -654  149 178
763 664  -450 376
1118 -84  597 386
-140 95  358 279
729 601  219 -228
0 -85  200 -461
-22 -121  739 106
-498 115  -214 -233
929 223  -395 -321
298 731  -804 20
200 -652  -125 -682
400 -20  -167 -514
272 -1158  -1183 -228
170 232  -1129 -210
-466 -234  -1020 -290
614 207  -35 585
196 711  547 3
141 97  -66 114
-162 -946  58 -840
760 -667  340 362
133 -255  1142 63
-111 -297  -180 -396
215 713  -71 -263
-737 698  -42 -862
123 -510  -123 399
114 -33  661 -98
8 -1113  -232 -341
-238 232  -613 163
803 938  204 559
-347 -276  737 523
-69 904  -535 156
450 -164  456 -1297
75 -63  721 147
-421 374  107 46
-371 -231  -503 -656
-413 360  78 176
-1104 -107  353 659
225 467  -370 -792
21 682  919 763
-203 553  628 298
10 -1340  -173 355
594 665  -776 185
-802 -718  -287 -126
367 265  439 -128
52 571  -369 711
316 277  -114 -1099
314 -166  -365 -385
-311 -377  409 -138
325 -412  384 -387
355 -565  156 -269
242 -342  -166 968
998 -474  1107 -681
-498 -209  580 -682
185 90  -194 117
-184 15  -788 219
-39 -73  351 -258
-111 -260  155 -187
-805 -25  156 -988
-964 -55  87 -54
95 415  271 247
-99 -573  530 -190
1095 571  980 588
-429 -110  208 -499
-375 160  19 -302
954 -411  114 66
148 -1189  -260 214
-78 423  611 87
-428 -446  -415 -259
-488 88  265 -116
459 653  481 -28
49 162  194 87
-34 582  66 -225
-757 636  -214 -277
-423 -362  -191 100
149 -98  -435 510
525 -118  -160 -705
754 116  171 86
-1358 443  -153 100
140 -246  552 473
105 584  505 -415
123 -354  -77 252
-379 -95  -178 -343
-591 -737  -18 -1339
-339 -86  14 941
-256 1060  607 122
-445 149  -693 552
-974 599  -399 52
-268 -1003  504 134
384 15  257 842
662 489  -430 447
29 -25  -408 428
-398 -35  489 596
-370 709  -352 -789
-735 -25  360 -845
-90 -438  639 -537
511 803  -112 -282
-1708 -1156  296 -689
500 -242  -773 97
599 394  -1067 191
-392 -427  -30 314
-918 286  -501 -117
204 -312  -181 -526
-581 -325  889 -261
655 -281  -5 552
85 -451  -320 -347
392 696  -341 -254
419 207  293 -512
511 705  51 698
1304 76  -20 177
-381 -431  -407 -552
-87 375  57 -571
-326 49  12 -285
-478 298  -108 581
108 -77  -121 -161
98 -65  1015 1079
-102 197  400 271
619 432  -555 -528
-92 -155  -316 -299
-1242 -452  590 -904
594 28  752 -643
631 1043  -892 299
-831 298  -186 379
-385 887  351 -235
-48 -452  367 149
-191 644  -956 -5
893 85  631 151
502 505  41 283
-241 -254  288 -305
365 -450  341 -428
-395 594  570 85
82 -607  -932 -371
653 934  -176 834
514 68  -62 -798
532 173  -79 781
-519 -294  -729 771
160 242  -891 -105
-285 594  269 26
814 -69  628 -157
429 -338  344 60
592 -254  -451 -34
-472 520  642 -179
423 247  -133 50
-21 66  548 -290
29 226  403 751
641 -164  -304 59
227 129  617 298
-194 -297  -668 742
-336 -948  -764 130
683 500  258 -79
323 123  -42 992
-213 -73  64 -1030
91 174  -298 -733
-151 -2  58 756
443 -405  642 317
411 515  231 364
701 -658  -280 -758
51 456  -267 440
-321 74  -132 -262
917 -182  275 -330
189 -1174  167 591
368 112  -193 -21
-276 1020  -4 -114
201 -727  120 -405
-4 435  -226 244
-68 -854  -323 1273
-158 969  -193 -452
391 30  1159 418
381 467  -209 495
0 108  62 64
433 1396  418 902
416 -106  656 -302
-585 118  283 -304
312 611  -47 589
-533 632  603 -432
-118 332  445 667
-498 -20  86 -883
-375 791  155 399
910 128  51 993
593 557  -97 72
-374 -818  -124 525
962 -124  -376 -20
326 723  -276 1180
-478 -233  -369 -605
-192 79  -75 104
-82 -212  851 276
-84 307  646 87
-442 -345  1364 81
638 -494  76 -1048
-212 56  394 591
1218 1066  -555 -456
300 -688  86 74
175 245  838 -686
-81 -498  89 4
-154 339  -244 887
523 -196  -648 -184
-305 -572  861 -15
-6 141  868 560
355 -481  497 -751
-50 905  -529 -265
-348 -943  691 756
-288 -56  -174 -621
764 -7  -502 625
-882 -838  -208 213
-435 -144  -435 851
30 -5  -992 572
119 -263  284 423
100 450  -950 239
744 -485  195 295
224 181  -537 -229
30 256  401 -580
751 -973  -194 414
266 252  -83 471
-442 -230  108 -102
-480 -1169  517 -661
-308 301  -367 335
-488 1401  -250 -550
-409 -939  198 539
-121 201  -376 1183
614 -597  506 660
-410 -579  151 742
93 -304  -104 223
-616 506  400 470
-499 194  -817 291
-720 -215  -802 -796
-194 -627  529 -782
-537 -435  824 333
-336 -671  -924 -1192
260 -260  -160 141
64 -23  503 -565
311 309  -677 125
-831 88  -90 -558
-664 720  -596 -490
-327 386  334 -392
390 -308  -750 477
-348 212  -78 -1063
277 -394  67 844
657 -273  990 735
-701 474  189 -197
-326 -102  744 833
-44 339  298 417
825 673  196 134
-270 -239  848 300
77 653  254 -178
-598 -123  790 -555
96 0  -831 588
-1138 -114  -832 -348
-57 618  -519 -345
-542 -22  789 8
-227 -512  597 641
1065 1477  -423 322
-368 175  49 191
522 25  -246 913
695 319  -439 -117
485 -497  666 -83
249 -514  -176 -190
339 468  -486 -373
-5 423  460 -10
-39 -25  8 -378
-329 -162  228 124
385 -935  -1106 -485
-381 -495  -198 520
-687 -258  -388 204
664 341  -677 325
840 -31  -20 -527
219 -1440  148 431
686 -442  456 168
-513 377  332 -146
-421 -64  177 181
1081 -920  752 313
-169 388  -314 28
1347 -669  -123 -389
-327 107  -263 -361
-116 -353  -1547 182
-398 147  -825 189
-137 -884  -1323 502
-194 936  -1 620
616 267  -113 -347
-419 -316  422 232
1053 -738  -197 649
-99 19  237 -188
-201 561  111 297
-265 593  163 61
-560 673  -643 244
-133 -129  -956 -549
110 354  626 -209
-32 -220  -280 -243
-735 -545  1002 8
-526 287  -333 191
-24 548  178 -1250
295 198  -1136 565
-776 -660  609 4
1026 459  420 -1125
-12 318  -594 286
-186 703  137 -196
129 514  -294 -557
-160 500  -300 187
190 -621  496 -91
52 -274  255 -117
481 370  770 -466
-1086 782  -981 360
133 -335  553 1091
-181 513  -749 -36
351 878  -480 3
-22 157  1549 -476
220 -110  938 595
-416 95  -93 895
1493 -416  765 297
-1042 94  97 315
-87 -18  358 -55
409 -49  288 -1108
938 1168  -93 660
53 91  103 1168
-1055 569  -718 180
393 -419  611 -434
-1702 446  -1302 -281
54 -276  -464 -56
-136 -115  644 250
-324 -228  -504 -82
1142 231  576 273
-407 -310  -102 957
651 225  -264 485
-590 368  191 310
-161 -108  -295 -1276
-1060 -6  -67 434
-407 -234  -388 -244
23 541  549 -287
16 365  306 -68
165 376  965 -360
-192 -736  590 567
-222 -175  157 259
286 846  613 -44
-269 -741  -70 1003
173 -1443  121 677
-176 803  -465 120
268 -408  188 211
-109 424  -887 135
-212 -314  645 101
241 -1493  995 68
859 -50  -262 -127
651 -1518  339 -798
-148 -198  459 -111
-642 615  -247 -276
121 -435  -712 -110
314 329  -195 -116
-336 370  112 -19
516 949  -299 -345
-56 -467  276 -936
92 536  89 530
401 268  669 40
-40 -388  41 182
644 -126  30 -931
-476 -1301  -289 -544
-608 839  -198 33
103 26  -769 -665
71 -57  -255 -282
-656 -1066  398 -561
-206 -216  -491 714
-66 126  846 25
659 -64  -189 -500
-1024 275  364 1155
593 191  -477 -19
-613 82  430 669
-169 433  -107 237
-82 -430  308 -89
-14 -256  -45 -573
-5 184  186 -662
-296 518  544 -464
223 118  -192 -339
791 -96  512 -574
549 64  -291 144
450 28  -916 -735
-24 449  76 500
-46 -348  521 -46
142 635  61 -649
-498 -330  -141 -283
582 -257  -1087 -500
-399 880  -468 -141
198 -960  -305 -642
496 341  46 -718
243 -545  296 313
-413 0  -246 -229
415 -569  73 557
202 738  385 728
697 -1095  580 531
357 -110  -722 -1290
-136 -235  630 -816
822 384  879 -277
-250 -433  -317 -594
567 137  -269 572
474 -217  -216 551
231 161  -106 194
-682 -477  -703 506
-177 1125  813 39
-409 -292  -360 -655
-981 26  -498 276
-91 138  762 -1011
-521 -15  283 -237
-117 -281  1102 64
-316 -410  212 986
-570 424  -651 908
502 333  652 474
753 -9  53 -306
384 -474  -63 -11
513 659  145 -367
754 -656  821 473
130 372  -130 305
49 -183  -49 -1068
-831 -542  -555 624
-193 575  601 -689
167 741  -155 -406
-159 428  -613 -453
-178 269  -756 -107
-258 -183  1052 -811
220 -327  -831 57
-41 321  471 -916
154 663  -703 -168
188 124  -475 632
186 -552  -207 240
74 -397  -178 -746
-7 -111  763 -989
268 432  -117 221
440 -627  -410 -331
1085 -420  29 712
-42 -703  -153 746
410 1321  -124 -514
659 502  -1124 -123
1135 57  513 -225
615 -152  238 -331
-407 -385  158 230
-582 -251  -547 217
-637 -208  -252 -50
105 470  259 348
494 540  -299 473
-730 -1789  -369 -529
-111 660  -112 520
548 904  873 585
738 -319  0 113
-143 153  35 109
-618 -74  -389 -658
-238 92  505 -524
51 863  -752 -95
638 -374  -172 208
-545 -29  34 -684
-302 -296  498 -92
125 663  -1055 365
8 455  -217 -355
805 -659  301 456
31 715  -609 276
-482 -308  -468 319
-409 148  -233 -257
-341 -763  434 633
-104 422  -897 552
-51 -95  -161 -248
22 283  196 -751
160 -15  385 164
100 30  13 -255
332 -58  169 -302
699 -191  142 539
558 -239  -682 -413
61 -453  769 -1487
696 510  625 -511
755 276  -183 -366
-86 774  97 -197
-160 1248  17 421
-588 -266  -865 141
327 -629  5 441
-241 -114  -302 -1434
658 -253  336 -114
563 -743  -165 -454
30 -141  494 -345
1095 -1336  244 276
237 293  243 -211
-564 -635  -273 -487
699 -184  -372 790
-53 227  -618 211
215 175  123 336
135 32  -55 -1210
691 -8  659 -279
265 -1205  -652 -155
-489 437  -122 292
-172 -77  -352 450
-89 -302  933 -185
-306 60  -1 1007
-732 -551  148 784
-132 1139  -902 571
339 240  -1296 -372
-718 -368  -54 260
612 349  -828 747
-4 882  355 -286
1333 540  -303 -728
-681 75  928 -349
-815 -231  -380 -481
569 461  340 1065
-225 -128  -131 -58
-1199 810  -81 -580
-1043 109  -660 -623
209 164  -330 -142
-551 -405  294 -514
-203 100  19 206
-386 957  -51 -437
-114 -163  -399 35
114 -705  -899 739
710 51  344 223
-170 110  849 24
593 1149  -378 285
-800 -354  -229 -106
-132 611  255 173
386 -383  761 -835
-9 -247  -358 410
115 74  -2 347
527 -587  559 882
468 569  509 324
-140 268  -1325 49
1108 130  -495 -182
347 106  707 418
-51 -104  -67 -164
-949 67  -103 -700
750 493  -276 600
-619 -88  299 744
-638 234  308 152
-1207 300  -189 438
-306 204  219 722
-483 -475  290 5
325 -249  -506 616
-356 97  971 515
291 -249  470 -1025
-364 375  162 -578
-207 334  -31 609
-369 70  -225 -184
283 300  94 -503
-783 -830  946 -4
281 -644  -875 246
-831 -280  1037 -312
833 657  -218 -463
-415 1017  1242 -355
-223 -932  72 79
-142 509  337 -127
333 -1054  146 799
-470 169  -142 333
351 -29  198 713
288 44  1197 -4
589 208  -285 256
776 0  -79 343
-483 45  470 213
-1022 822  -457 -389
-195 -939  57 -167
-236 -797  -354 573
-88 46  134 -575
303 -142  -190 684
742 132  -438 342
956 38  -160 -392
-156 804  -15 477
-231 -144  18 6
526 -427  530 -994
206 36  -1081 -350
448 542  -1450 465
-1090 -358  -427 449
-5 364  727 -101
-193 207  460 78
-31 -728  -91 -180
189 106  46 -509
-33 98  -844 -261
139 -390  -329 -1099
1433 -331  461 -308
266 60  -142 1066
-98 -234  -369 946
388 349  126 663
-277 -205  -592 832
-292 372  -407 -270
-940 -323  756 -402
624 608  130 593
270 393  317 -677
-235 478  -407 202
-271 176  -605 762
608 -1032  96 -222
-440 -818  -491 569
222 -477  497 -760
-368 913  267 36
-637 -977  1432 -363
194 489  207 -1102
685 -1250  393 415
-52 782  -599 482
-367 -916  -480 -16
282 73  -407 0
268 -446  545 -123
516 -218  423 741
-67 -574  -158 -799
-357 -672  63 -867
-449 -968  270 35
-32 741  208 536
576 -1012  81 -478
-97 570  250 675
-1011 732  177 16
760 428  -612 680
-199 -292  -66 589
-716 -420  -101 195
-434 646  -582 -650
-75 -623  217 -551
-718 91  -418 489
-234 585  132 -396
-682 645  -37 502
-155 -219  118 -206
-17 980  1050 576
218 1099  -717 664
380 -339  397 284
-492 103  191 75
297 -44  940 830
-474 83  662 2
-777 -422  446 67
-279 280  -300 538
442 79  -893 122
226 335  205 714
241 278  686 264
-811 498  -182 217
698 -445  179 349
481 372  742 69
133 -916  78 54
68 421  216 354
-442 261  -108 520
156 -649  -486 248
-917 699  921 -741
-469 37  464 378
-18 248  190 93
-410 80  -21 -667
-258 592  580 615
42 379  -439 -606
-544 -172  -501 105
72 138  -128 -287
-203 137  510 1354
50 597  77 -342
-350 409  -607 700
-954 -227  86 -607
-869 481  -179 235
-441 435  652 -194
-719 -177  -17 467
-352 111  -93 33
-867 -5  133 -200
456 974  -167 662
-211 -721  -108 509
398 -1008  96 220
-556 340  573 -521
-629 622  918 -993
500 503  918 743
498 711  399 1077
-558 811  459 1416
1003 725  593 416
299 205  197 683
413 104  -1011 697
296 141  116 -470
20 -270  268 810
57 -163  161 202
-39 -126  -460 681
-103 126  479 435
-372 -290  709 -565
881 279  189 64
249 -281  -132 432
556 328  554 -267
-1164 876  351 -847
383 -710  -48 325
-176 304  -470 67
478 -126  194 345
293 -303  199 -88
238 -1235  1146 692
-186 206  -927 -456
76 337  1254 -699
-331 69  43 -318
238 -608  1350 327
649 -180  -35 -791
333 -642  168 10
6 -79  422 137
-485 284  660 -208
-1077 -24  -560 -288
-93 1513  -349 -73
-189 1  -533 199
872 -116  -387 -354
193 -151  -231 -599
524 295  626 -311
-111 132  -525 -903
1141 -664  626 -228
389 158  659 105
251 -518  178 -450
25 -380  -141 -511
461 -409  131 -721
-455 260  -401 -750
346 -463  -246 465
-504 822  -697 -96
474 775  120 -145
798 -480  85 -328
-460 -107  -244 -365
-421 -371  666 -376
861 530  -293 499
470 -449  390 -588
-328 203  276 196
-63 -80  670 255
228 376  -708 915
587 -293  -213 -104
-117 174  -138 -670
2 -68  -207 475
-220 761  544 -381
-175 592  670 467
-817 368  496 -402
-1666 127  299 -163
-188 119  51 918
-1223 -265  212 363
-741 -978  406 -66
-523 316  764 -1755
457 -474  -331 -520
271 458  -60 -346
-645 -517  -56 237
-470 -529  50 289
185 -90  -293 -574
865 -281  -135 -464
-925 476  84 102
544 -268  -618 -268
213 64  -786 -684
-866 -767  341 -420
-277 -212  -240 -689
-392 459  525 -137
-225 270  -233 420
-245 695  -138 -393
268 477  123 -1
114 -73  -1118 -729
-393 -13  1027 -272
-699 -939  -503 486
181 121  630 -348
196 242  -138 -106
-126 685  41 -60
-856 -693  151 -249
-205 421  208 -154
-269 191  -1159 134
882 -568  -526 -181
1152 -495  -966 51
-499 912  837 685
291 -220  -50 886
256 943  508 -151
-291 135  -255 603
355 -171  -573 413
346 -576  851 -326
287 41  -569 70
868 -170  -819 -208
-1058 350  -663 562
333 -920  -281 265
662 -187  1505 315
717 -199  55 184
-904 -2  440 359
-1071 489  -1208 275
-254 418  375 366
263 -823  440 -848
347 970  524 -38
-561 -330  -760 -681
277 -99  -240 853
-252 -1025  98 -244
982 551  -135 -56
459 -17  -269 120
1024 298  -538 337
1116 814  -417 -35
5 0  -612 -240
-801 683  300 72
-566 118  -1074 -142
-610 650  188 -14
463 -18  -829 452
-489 362  119 -4
-1075 588  54 97
163 14  14 -299
133 -655  885 360
-1235 1045  -888 -69
-1164 -809  424 880
-51 -81  -112 -563
189 981  219 44
-162 -119  -472 1118
175 1042  99 -292
437 721  511 134
-128 -434  -578 1335
458 530  -161 -994
479 273  253 240
430 637  -796 323
293 398  -472 -230
206 1236  904 221
131 256  -241 498
458 -117  -571 -99
-218 -675  514 -412
652 -24  152 -15
787 903  -564 -301
240 304  -200 -218
960 -85  223 -842
-863 -167  602 -537
-132 -245  -1020 -474
423 -690  -272 444
456 -311  -424 611
-78 -451  -326 689
-233 559  -164 168
561 423  871 -278
-303 213  201 -1032
548 467  -905 -799
676 127  335 607
671 22  506 -367
-714 -228  127 -164
-149 61  -814 -30
72 -491  172 -1367
-354 196  -440 -1294
-77 -134  996 -339
69 -1151  517 -188
521 -192  291 535
291 -388  389 630
466 -365  509 -328
-638 198  -150 -161
208 -562  323 156
970 -992  -181 -90
-375 -685  -251 71
264 -495  439 -793
-686 71  -93 -663
121 -550  -644 388
-403 504  -657 55
-263 -243  -923 557
258 -373  267 424
282 -1311  -409 -808
-190 -530  394 647
1402 -788  265 567
609 -961  483 -69
-610 -243  230 461
-1473 837  504 229
-416 14  434 206
562 -269  -11 -167
-788 -740  8 -199
563 581  457 246
-131 312  562 -165
211 273  -195 284
-466 -304  942 -358
181 89  -308 -235
566 -251  668 960
281 -34  51 181
780 -320  633 344
-65 -744  310 581
368 -109  -707 112
-321 69  -160 -16
64 -646  -981 -328
-396 -971  -254 297
282 497  177 275
259 226  -313 -761
295 666  817 -252
283 -148  -92 546
318 -245  -381 -335
188 -544  183 -157
-904 37  484 -278
574 -614  -568 -100
-244 185  618 -167
-916 720  311 -232
-546 -281  -181 -448
-978 515  -362 -988
481 790  -689 212
322 -356  -652 -1080
-610 140  -195 -188
435 -171  441 -81
190 -103  -172 -521
-477 929  -8 508
395 605  972 2
-421 -516  -249 -137
586 -7  454 -500
492 -78  -192 78
868 -616  1231 207
-1186 -85  -921 629
407 -530  -55 -325
-229 -198  467 476
292 465  491 250
331 -732  -816 -513
-971 9  -952 524
479 -238  -954 164
292 -858  -128 -690
-94 679  859 138
204 443  -276 62
-91 -387  177 -519
-416 -194  611 -328
141 104  -474 12
-155 -542  -841 -631
-824 189  419 435
61 90  -77 43
-70 237  -667 -1374
207 -452  184 1237
885 -503  381 -213
-190 915  21 -237
-207 -261  -913 942
-82 -439  644 520
-133 279  377 -1011
441 42  -610 14
1015 -268  -687 841
88 -697  -1077 17
-685 269  434 739
-1858 -29  -262 -405
-337 -133  703 -466
537 -450  -595 256
351 344  -265 450
395 -26  -112 -614
67 -684  -81 226
-667 490  183 -301
-273 287  169 877
50 140  649 129
894 -1158  1379 188
366 -652  -305 -412
1266 39  -286 -1022
374 307  1021 -386
-12 723  -154 -10
1111 533  -28 -31
549 606  -588 -205
740 670  799 -659
247 32  29 44
-633 697  600 417
440 -498  -96 95
670 -451  517 269
69 -366  -106 -1278
138 800  -242 551
37 619  -87 -378
-288 27  389 236
123 335  -64 -218
-199 674  433 -44
-489 297  766 -288
454 -85  294 867
128 1127  487 -613
-464 -48  268 76
-439 709  -404 -1044
685 -551  307 -175
-120 -239  89 322
23 710  38 46
-221 240  0 795
804 174  210 170
584 734  201 420
458 480  508 -374
-460 99  74 -337
803 -682  663 184
-807 -417  219 -51
-806 -270  131 197
-439 -2284  -61 -842
544 696  477 160
-143 -724  -33 57
-482 190  137 552
-942 -66  103 -163
-611 -323  -21 -432
-533 179  974 194
-615 17  -271 54
-916 8  -35 -31
-597 -96  624 -93
75 -491  24 679
-88 491  45 11
257 -91  -41 744
581 -255  980 -654
329 217  -586 -104
-509 431  1216 -351
849 652  -636 215
-1338 625  110 79
-845 -25  -647 174
294 139  -392 8
-51 345  613 -571
-215 6  34 -41
-651 -59  195 -398
810 297  -379 604
427 -201  -637 569
-206 -610  -539 333
67 417  573 -217
-200 -13  500 -327
-1716 442  -858 329
-342 -264  312 -384
555 221  -938 -22
98 69  -964 -560
-282 344  -35 -541
-1146 -727  100 61
315 -395  -132 55
782 396  -94 -697
699 131  115 878
864 367  -369 -734
397 428  -429 -48
228 523  -467 299
1143 -165  -445 681
-310 -493  -16 -269
-213 -71  -637 464
-453 -240  201 -548
157 39  508 72
146 -79  829 139
250 -29  502 293
-303 -512  199 -118
188 -413  90 198
746 648  891 673
228 -102  708 -27
458 882  268 -519
60 366  420 -367
361 420  524 -916
455 -788  -758 -240
-717 495  -222 -327
-138 -637  -105 115
-488 686  -722 1287
-217 -567  546 -614
-102 54  389 470
74 246  -428 -955
756 457  -230 -346
1136 160  -1022 601
-1603 88  1224 -206
405 -11  837 -255
-224 563  -390 216
265 105  -83 537
-113 -649  586 926
-169 -227  -300 -349
-47 -301  719 -655
-857 702  952 464
-237 -260  -130 377
-361 154  -205 -90
-432 -832  809 240
134 842  163 -659
-75 254  -167 -161
9 -446  -306 -45
-182 474  843 60
-945 -519  203 -198
-749 -34  -597 129
-1048 -218  -187 618
41 -121  441 793
785 974  -528 -266
-618 451  -201 586
28 -982  274 -528
568 1817  -230 257
-856 -140  -188 -244
-280 -930  -205 -936
-488 130  -643 389
297 204  374 62
-275 316  527 211
224 -1021  391 139
-399 514  175 -69
8 -14  37 -1300
-274 -60  -158 -238
-499 921  -474 -595
141 1044  639 -202
-249 212  -458 275
-859 -485  -488 549
56 44  309 377
-534 553  26 660
-639 700  -1014 491
718 -244  -260 -768
164 -831  308 -669
-401 353  442 -557
